               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12781,            0.012943,            0.026371,          0.00012885,            0.011686,          6.5934e-05,          1.1052e-05,            0.099163,            0.012773,            0.021925,              0.0928,              0.0008,              0.0008
                   1,             0.11127,            0.014609,            0.020934,            0.019322,            0.010836,           0.0012775,          0.00027706,            0.091031,            0.014644,            0.017871,            0.084699,           0.0016992,           0.0016992
                   2,             0.11763,            0.015429,            0.018765,           0.0078348,            0.003096,           0.0010659,          0.00020596,            0.089233,            0.014252,            0.015457,            0.076597,           0.0025974,           0.0025974
                   3,             0.11415,            0.016708,            0.016101,             0.09022,             0.03096,            0.014137,             0.00267,            0.084622,            0.015558,            0.013227,            0.068495,           0.0034948,           0.0034948
                   4,             0.10787,            0.017694,            0.013652,            0.026187,            0.026316,           0.0040097,          0.00086146,            0.085319,            0.016261,             0.01032,            0.060391,           0.0043913,           0.0043913
                   5,             0.10675,            0.019394,            0.011689,            0.030421,            0.026316,           0.0087781,           0.0020426,             0.07912,            0.017148,           0.0070129,            0.052287,           0.0052869,           0.0052869
                   6,            0.085377,            0.021237,           0.0085655,             0.13718,             0.08288,             0.08282,            0.019186,            0.077449,            0.017106,            0.005481,            0.044182,           0.0061816,           0.0061816
                   7,            0.087932,            0.019485,            0.007764,             0.21443,             0.31777,             0.16771,              0.0382,            0.065126,            0.016313,           0.0048111,            0.036075,           0.0070754,           0.0070754
                   8,            0.082501,            0.017769,           0.0067658,            0.043128,             0.25075,             0.02841,           0.0050667,            0.073178,            0.013246,            0.003535,            0.027968,           0.0079683,           0.0079683
                   9,            0.084824,            0.013171,           0.0053128,             0.31361,             0.52817,             0.29635,            0.083365,            0.069343,            0.014024,           0.0030223,             0.01986,           0.0088604,           0.0088604
                  10,            0.086528,            0.014043,           0.0047374,           0.0098648,             0.13884,           0.0088959,           0.0020098,            0.079801,             0.01381,            0.002813,            0.011751,           0.0097515,           0.0097515
                  11,            0.095275,            0.013044,           0.0056045,             0.22583,             0.25704,             0.21757,            0.034321,            0.075244,            0.010045,           0.0028321,           0.0099456,           0.0099456,           0.0099456
                  12,            0.083453,            0.014224,           0.0051413,             0.38812,             0.44192,             0.41879,            0.094643,            0.065505,            0.010858,           0.0026928,           0.0099456,           0.0099456,           0.0099456
